Name,Type,RA,Dec,Const,MajAx,MinAx,PosAng,B-Mag,V-Mag,J-Mag,H-Mag,K-Mag,SurfBr,Hubble,Cstar U-Mag,Cstar B-Mag,Cstar V-Mag,M,NGC,IC,Cstar Names,Identifiers,Common names,NED notes,OpenNGC notes
NGC2447,OCl,07:44:29.23,-23:51:11.1,Pup,15.00,,,6.57,6.20,,,,,,,,,93,,,,MWSC 1324,,,
IC4703,Neb,18:18:56.22,-13:50:43.4,Se2,5.05,5.05,90,6.58,6.00,,,,,,,,,,,,,,"Eagle Nebula,Star Queen",This is the nebula associated with the open cluster MESSIER 16 = NGC 6611.,Diameters taken from SIMBAD. 
NGC6611,Neb,18:18:48.17,-13:48:26.0,Se2,120.00,25.00,,6.58,6.00,,,,,,,,,16,,,,"LBN 67,MWSC 2886",Eagle Nebula,,
NGC2477,OCl,07:52:09.78,-38:31:59.7,Pup,18.60,,,6.64,5.80,,,,,,,,,,,,,"C 071,MWSC 1363",,,
NGC1912,OCl,05:28:42.49,+35:51:17.7,Aur,9.60,,,6.69,6.40,,,,,,,,,38,,,,MWSC 0557,,,
NGC6124,OCl,16:25:20.06,-40:39:13.3,Sco,13.50,,,6.70,5.80,,,,,,,,,,,,,"C 075,MWSC 2403",,,
NGC7686,OCl,23:30:07.38,+49:08:02.8,And,3.60,,,6.79,5.60,,,,,,,,,,,,,MWSC 3734,,,
NGC2520,OCl,08:04:58.18,-28:08:48.0,Pup,9.30,,,6.81,6.50,,,,,,,,,,2527,,,MWSC 1428,,,
NGC1647,OCl,04:45:55.57,+19:05:42.4,Tau,27.00,,,6.82,6.40,,,,,,,,,,,,,MWSC 0416,,,
NGC3572,OCl,11:10:19.20,-60:14:54.1,Car,4.08,,,6.82,6.60,,,,,,,,,,,,,MWSC 1906,,,
NGC1528,OCl,04:15:18.87,+51:12:41.3,Per,9.60,,,6.83,6.40,,,,,,,,,,,,,MWSC 0353,,,
IC1848,Cl+N,02:51:10.59,+60:24:08.9,Cas,40.00,10.00,,6.87,6.50,,,,,,,,,,,,,"LBN 667,MWSC 0236",,Immersed in nebulosity.,
NGC3324,Cl+N,10:37:16.21,-58:37:10.4,Car,4.80,,,6.91,6.70,,,,,,,,,,,,,MWSC 1830,,IC 2599 is a part of this emission nebula.,
NGC6752,GCl,19:10:51.78,-59:58:54.7,Pav,13.20,,,6.96,6.28,,,,,,,,,,6777,,,"C 093,MWSC 3062",,Identity as NGC 6777 is uncertain.,
NGC0457,OCl,01:19:32.65,+58:17:26.5,Cas,7.80,,,6.97,6.40,,,,,,,,,,,,,"C 013,MWSC 0114",Owl Cluster,,
NGC6940,OCl,20:34:26.69,+28:16:57.8,Vul,10.80,,,6.98,6.30,,,,,,,,,,,,,MWSC 3370,,,
NGC2175,Cl+N,06:09:39.55,+20:29:15.3,Ori,5.40,,,7.00,6.80,,,,,,,,,,,,,"LBN 854,MWSC 0764",,Position is for SAO 078049.,
NGC1973,Neb,05:35:04.78,-04:43:54.4,Ori,5.00,5.00,,7.00,,,,,,,,,,,,,,,,,Dimensions and B-Mag taken from LEDA
NGC1975,Neb,05:35:17.88,-04:41:06.8,Ori,10.00,5.00,,7.00,,,,,,,,,,,,,,,,,Dimensions and B-Mag taken from LEDA
IC4544,Nova,15:29:22.99,-50:35:00.4,Nor,,,,7.00,,16.11,15.63,15.43,,,,,,,,,,"2MASS J15292318-5035007,HD 137677",,Position is from P. Woudt (w.r.t. six 2MASS stars) via B. Skiff.,
NGC1662,OCl,04:48:28.95,+10:55:49.4,Ori,13.80,,,7.00,6.40,,,,,,,,,,,,,MWSC 0425,,,
NGC5617,OCl,14:29:44.07,-60:42:39.0,Cen,5.10,,,7.00,6.30,,,,,,,,,,,,,MWSC 2223,,,
